Coordinador	nc	B-JOB
del	sp	I-FUN
proyecto	nc	I-FUN
para	sp	I-FUN
cumplir	vmn	I-FUN
la	det	I-FUN
meta	nc	I-FUN
de	sp	I-FUN
CERO	adj	I-FUN
ACCIDENTES	nc	I-FUN

*	fz	O
Realizar	vmn	B-FUN
la	det	I-FUN
gestión	nc	I-FUN
sobre	sp	I-FUN
la	det	I-FUN
ejecución	nc	I-FUN
de	sp	I-FUN
las	det	I-FUN
etapas	nc	I-FUN
de	sp	I-FUN
Estudio	nc	I-FUN
y	cc	O
coordinar	vmn	B-FUN
con	sp	I-FUN
las	det	I-FUN
áreas	nc	I-FUN
internas	adj	I-FUN
que	pron	I-FUN
apoyan	vmi	I-FUN
al	sp	I-FUN
proyecto	nc	I-FUN
,	fc	O
para	sp	O
lograr	vmn	O
los	det	O
objetivos	nc	O
establecidos	adj	O
.	fp	O
Con	sp	O
el	det	O
fin	nc	O
de	sp	O
contribuir	vmn	B-FUN
al	sp	I-FUN
cumplimiento	nc	I-FUN
del	sp	I-FUN
alcance	nc	I-FUN
,	fc	I-FUN
plazos	nc	I-FUN
,	fc	I-FUN
calidad	nc	I-FUN
del	sp	I-FUN
proyecto	nc	I-FUN
y	cc	I-FUN
normas	nc	I-FUN
de	sp	I-FUN
seguridad	nc	I-FUN
,	fc	I-FUN
medio	adj	I-FUN
ambiente	nc	I-FUN
y	cc	I-FUN
responsabilidad	nc	I-FUN
social	adj	I-FUN

*	fz	O
Identificar	vmn	B-FUN
y	cc	I-FUN
planificar	vmn	I-FUN
todos	det	I-FUN
los	det	I-FUN
procesos	nc	I-FUN
que	pron	I-FUN
son	vsi	I-FUN
necesarios	adj	I-FUN
para	sp	I-FUN
asegurar	vmn	I-FUN
un	det	I-FUN
proyecto	nc	I-FUN
exitoso	adj	I-FUN
con	sp	O
el	det	O
fin	nc	O
de	sp	O
contribuir	vmn	B-FUN
al	sp	I-FUN
cumplimiento	nc	I-FUN
del	sp	I-FUN
alcance	nc	I-FUN
técnico	adj	I-FUN
,	fc	I-FUN
económico	adj	I-FUN
y	cc	I-FUN
los	det	I-FUN
plazos	nc	I-FUN
establecidos	adj	I-FUN
,	fc	I-FUN
en	sp	I-FUN
las	det	I-FUN
diferentes	det	I-FUN
etapas	nc	I-FUN
del	sp	I-FUN
proyecto	nc	I-FUN
.	fp	O

*	fz	O
Estudia	vmi	B-FUN
las	det	I-FUN
diferentes	det	I-FUN
alternativas	nc	I-FUN
para	sp	I-FUN
un	det	I-FUN
proceso	nc	I-FUN
metalurgico	adj	I-FUN
y	cc	I-FUN
participa	vmi	I-FUN
activamente	rg	I-FUN
en	sp	I-FUN
la	det	I-FUN
revisión	nc	I-FUN
del	sp	I-FUN
diseño	nc	I-FUN
de	sp	I-FUN
los	det	I-FUN
mismos	adj	I-FUN
.	fp	O
Tomando	vmg	B-FUN
como	cs	I-FUN
base	sp	I-FUN
las	det	I-FUN
operaciones	nc	I-FUN
existentes	adj	I-FUN
,	fc	I-FUN
mejora	vmi	I-FUN
los	det	I-FUN
procesos	nc	I-FUN
,	fc	O
modernizando	vmg	B-FUN
las	det	I-FUN
operaciones	nc	I-FUN
relacionadas	adj	I-FUN
al	sp	I-FUN
proyecto	nc	I-FUN
,	fc	O
y	cc	O
verifica	vmi	B-FUN
los	det	I-FUN
cálculos	nc	I-FUN
metalúrgicos	nc	I-FUN
tales	det	I-FUN
como	cs	I-FUN
:	fd	I-FUN
Balance	nc	I-FUN
de	sp	I-FUN
Materia	nc	I-FUN
y	cc	I-FUN
Balance	nc	I-FUN
de	sp	I-FUN
Energía	nc	I-FUN
.	fp	O
Con	sp	O
el	det	O
fin	nc	O
de	sp	O
contribuir	vmn	B-FUN
al	sp	I-FUN
cumplimiento	nc	I-FUN
del	sp	I-FUN
alcance	nc	I-FUN
,	fc	I-FUN
calidad	nc	I-FUN
del	sp	I-FUN
proyecto	nc	I-FUN
y	cc	I-FUN
especificaciones	nc	I-FUN
de	sp	I-FUN
producción	nc	I-FUN
esperadas	vmp	I-FUN
en	sp	I-FUN
la	det	I-FUN
planta	nc	I-FUN
de	sp	I-FUN
proceso	nc	I-FUN
.	fp	O

*	fz	O
Durante	sp	O
los	det	O
Estudios	nc	O
define	vmi	B-FUN
y/o	cc	I-FUN
revisa	vmi	I-FUN
información	nc	I-FUN
de	sp	I-FUN
su	det	I-FUN
especialidad	nc	I-FUN
:	fd	I-FUN
Criterios	nc	I-FUN
de	sp	I-FUN
Diseño	nc	I-FUN
,	fc	I-FUN
diagramas	vmi	I-FUN
de	sp	I-FUN
procesos	nc	I-FUN
,	fc	I-FUN
diagramas	nc	I-FUN
de	sp	I-FUN
tubería	nc	I-FUN
e	cc	I-FUN
instrumentación	nc	I-FUN
,	fc	I-FUN
dimensionamiento	vmi	I-FUN
de	sp	I-FUN
los	det	I-FUN
principales	adj	I-FUN
equipos	nc	I-FUN
;	fx	O
coordinando	vmg	B-FUN
con	sp	I-FUN
las	det	I-FUN
disciplinas	nc	I-FUN
de	sp	I-FUN
mecánica	nc	I-FUN
,	fc	I-FUN
electricidad	nc	I-FUN
e	cc	I-FUN
instrumentación	nc	I-FUN
principalmente	rg	I-FUN
.	fp	O
Con	sp	O
el	det	O
fin	nc	O
de	sp	O
contribuir	vmn	B-FUN
al	sp	I-FUN
cumplimiento	nc	I-FUN
del	sp	I-FUN
alcance	nc	I-FUN
técnico	adj	I-FUN
,	fc	I-FUN
económico	adj	I-FUN
y	cc	I-FUN
los	det	I-FUN
plazos	nc	I-FUN
establecidos	adj	I-FUN
.	fp	O

*	fz	O
Asegurar	vmn	B-FUN
que	cs	I-FUN
la	det	I-FUN
revisíon	nc	I-FUN
de	sp	I-FUN
los	det	I-FUN
estudios	nc	I-FUN
,	fc	I-FUN
documentos	nc	I-FUN
técnicos	adj	I-FUN
y	cc	I-FUN
planos	nc	I-FUN
de	sp	I-FUN
ingeniería	nc	I-FUN
,	fc	I-FUN
se	pron	I-FUN
lleva	vmi	I-FUN
acabo	sp	I-FUN
,	fc	I-FUN
es	vsi	I-FUN
del	sp	I-FUN
nivel	nc	I-FUN
adecuado	adj	I-FUN
y	cc	I-FUN
su	det	I-FUN
calidad	nc	I-FUN
no	rn	I-FUN
afecte	vms	I-FUN
etapas	nc	I-FUN
posteriores	adj	I-FUN
por	sp	I-FUN
falta	nc	I-FUN
de	sp	I-FUN
información	nc	I-FUN
.	fp	O
Verificar	vmn	B-FUN
la	det	I-FUN
operatibilidad	nc	I-FUN
,	fc	I-FUN
mantenibilidad	nc	I-FUN
y	cc	I-FUN
encontrar	vmn	I-FUN
oportunidades	nc	I-FUN
de	sp	I-FUN
ahorro	nc	I-FUN
durante	sp	I-FUN
las	det	I-FUN
etapas	nc	I-FUN
posteriores	adj	I-FUN
y	cc	I-FUN
de	sp	I-FUN
construcción	nc	I-FUN
.	fp	O

*	fz	O
Determina	vmm	B-FUN
el	det	I-FUN
tipo	nc	I-FUN
de	sp	I-FUN
pruebas	nc	I-FUN
que	pron	I-FUN
deben	vmi	I-FUN
aplicarse	vmn	I-FUN
para	sp	I-FUN
verificar	vmn	I-FUN
las	det	I-FUN
capacidades	nc	I-FUN
de	sp	I-FUN
los	det	I-FUN
equipos	nc	I-FUN
y	cc	I-FUN
de	sp	I-FUN
los	det	I-FUN
sistemas	nc	I-FUN
en	sp	I-FUN
base	nc	I-FUN
a	sp	I-FUN
la	det	I-FUN
información	nc	I-FUN
de	sp	I-FUN
los	det	I-FUN
proveedores	nc	I-FUN
y	cc	I-FUN
a	sp	I-FUN
las	det	I-FUN
mejoras	nc	I-FUN
prácticas	adj	I-FUN
en	sp	I-FUN
la	det	I-FUN
industria	nc	I-FUN
minera	adj	I-FUN
-	fg	I-FUN
metalúrgica	adj	I-FUN
,	fc	O
consolidando	vmg	B-FUN
la	det	I-FUN
información	nc	I-FUN
y	cc	I-FUN
liderando	vmg	I-FUN
la	det	I-FUN
preparación	nc	I-FUN
del	sp	I-FUN
Plan	nc	I-FUN
de	sp	I-FUN
Pre	adj	I-FUN
-	fg	I-FUN
comisionado	nc	I-FUN
y	cc	I-FUN
comisionado	nc	I-FUN
(	fpa	I-FUN
Puesta	nc	I-FUN
en	sp	I-FUN
Marcha	nc	I-FUN
)	fpt	I-FUN
.	fp	O
Coordinando	vmg	B-FUN
con	sp	I-FUN
las	det	I-FUN
disciplinas	nc	I-FUN
involucradas	adj	I-FUN
,	fc	I-FUN
los	det	I-FUN
futuros	adj	I-FUN
operadores	nc	I-FUN
de	sp	I-FUN
la	det	I-FUN
planta	nc	I-FUN
.	fp	O

*	fz	O
Participa	vmi	B-FUN
en	sp	I-FUN
la	det	I-FUN
prueba	nc	I-FUN
final	adj	I-FUN
de	sp	I-FUN
operatividad	nc	I-FUN
(	fpa	I-FUN
pruebas	nc	I-FUN
de	sp	I-FUN
performance	nc	I-FUN
)	fpt	I-FUN
representando	vmg	I-FUN
a	sp	I-FUN
la	det	I-FUN
empresa	nc	I-FUN
y	cc	I-FUN
asegurándose	vmi	I-FUN
del	sp	I-FUN
correcto	adj	I-FUN
funcionamiento	nc	I-FUN
de	sp	I-FUN
todos	det	I-FUN
los	det	I-FUN
equipos	nc	I-FUN
mecánicos	adj	I-FUN
y	cc	I-FUN
sistemas	nc	I-FUN
.	fp	O

*	fz	O
Asegurar	vmn	B-FUN
que	cs	I-FUN
los	det	I-FUN
proveedores	nc	I-FUN
cumplan	vms	I-FUN
sus	det	I-FUN
compromisos	nc	I-FUN
de	sp	I-FUN
calidad	nc	I-FUN
,	fc	I-FUN
capacidad	nc	I-FUN
y	cc	I-FUN
productividad	nc	I-FUN
en	sp	I-FUN
los	det	I-FUN
equipos	nc	I-FUN
o	cc	I-FUN
sistemas	nc	I-FUN
que	pron	I-FUN
suministran	vmi	I-FUN
.	fp	O

*	fz	O
Asegurar	vmn	B-FUN
que	pron	I-FUN
se	pron	I-FUN
mantenga	vms	I-FUN
una	det	I-FUN
interrelación	nc	I-FUN
y	cc	I-FUN
coordinación	nc	I-FUN
entre	sp	I-FUN
los	det	I-FUN
consultores	nc	I-FUN
,	fc	I-FUN
proveedores	nc	I-FUN
,	fc	I-FUN
equipo	nc	I-FUN
de	sp	I-FUN
proyecto	nc	I-FUN
,	fc	I-FUN
equipo	nc	I-FUN
de	sp	I-FUN
soporte	nc	I-FUN
(	fpa	I-FUN
contratos	nc	I-FUN
y	cc	I-FUN
procura	nc	I-FUN
,	fc	I-FUN
QA	np	I-FUN
/	fh	I-FUN
QC	np	I-FUN
,	fc	I-FUN
SSOMAQ	np	I-FUN
,	fc	I-FUN
Administrativo	adj	I-FUN
,	fc	I-FUN
Control	nc	I-FUN
de	sp	I-FUN
documentos	nc	I-FUN
,	fc	I-FUN
Control	nc	I-FUN
de	sp	I-FUN
proyectos	nc	I-FUN
,	fc	I-FUN
etc	fs	I-FUN
.	fp	I-FUN
)	fpt	I-FUN
,	fc	I-FUN
y	cc	I-FUN
las	det	I-FUN
áreas	nc	I-FUN
de	sp	I-FUN
Operaciones	nc	I-FUN
-	fg	I-FUN
Mantenimiento	nc	I-FUN
relacionadas	vmp	I-FUN
al	sp	I-FUN
Estudio	nc	I-FUN
.	fp	O
Crear	vmn	B-FUN
un	det	I-FUN
equipo	nc	I-FUN
de	sp	I-FUN
involucrados	nc	I-FUN
sólido	adj	I-FUN
,	fc	I-FUN
bien	rg	I-FUN
comunicado	nc	I-FUN
y	cc	I-FUN
eficiente	adj	I-FUN
,	fc	I-FUN
que	pron	I-FUN
garantice	vms	I-FUN
el	det	I-FUN
cumplimiento	nc	I-FUN
de	sp	I-FUN
los	det	I-FUN
objetivos	nc	I-FUN
del	sp	I-FUN
proyecto	nc	I-FUN

*	fz	O
Reporta	vmi	B-FUN
el	det	I-FUN
avance	nc	I-FUN
del	sp	I-FUN
Proyecto	nc	I-FUN
en	sp	I-FUN
sus	det	I-FUN
diferentes	det	I-FUN
etapas	nc	I-FUN
de	sp	I-FUN
manera	nc	I-FUN
semanal	adj	I-FUN
y	cc	I-FUN
mensual	adj	I-FUN
a	sp	I-FUN
la	det	I-FUN
Dirección	nc	I-FUN
de	sp	I-FUN
Proyectos	nc	I-FUN
y	cc	I-FUN
se	pron	I-FUN
asegura	vmi	I-FUN
que	cs	I-FUN
sus	det	I-FUN
colaboradores	nc	I-FUN
emitan	vms	I-FUN
un	det	I-FUN
reporte	nc	I-FUN
semanal	adj	I-FUN
de	sp	I-FUN
sus	det	I-FUN
actividades	nc	I-FUN
.	fp	O

Requisitos	nc	O
:	fd	O

Ingeniero	np	B-CARR
metalurgista	np	I-CARR
ó	cc	O
químico	np	B-CARR
,	fc	O
con	sp	O
al	rg	O
menos	rg	O
15	z	O
años	nc	O
de	sp	O
experiencia	nc	O
en	sp	O
operaciones	nc	B-AREA
,	fc	O
estudios	nc	O
o	cc	O
desarrollo	nc	O
de	sp	O
proyectos	nc	O
similares	adj	O
,	fc	O
conocimiento	nc	O
de	sp	O
Gerencia	np	B-REQ
de	sp	I-REQ
Proyectos	np	I-REQ
.	fp	O

Experiencia	nc	O
en	sp	O
proyectos	nc	B-AREA
de	sp	O
plantas	nc	O
de	sp	O
procesos	nc	B-AREA
minero	adj	I-AREA
-	fg	I-AREA
metalúrgicos	adj	I-AREA
,	fc	O
coordinación	nc	B-FUN
de	sp	I-FUN
Estudios	nc	I-FUN
similares	adj	I-FUN
al	sp	I-FUN
presente	adj	I-FUN
proyecto	nc	I-FUN
,	fc	O
ingles	np	B-REQ
nivel	nc	O
medio	adj	O
,	fc	O
disponibilidad	nc	O
para	sp	O
viajar	vmn	B-MISC
y	cc	I-MISC
residir	vmn	I-MISC
en	sp	O
Brasil	np	B-LUG
.	fp	O
Capacidad	nc	O
para	sp	O
relacionarse	nc	B-REQ
con	sp	I-REQ
clientes	nc	I-REQ
internos	adj	I-REQ
y	cc	I-REQ
externos	adj	I-REQ
,	fc	O
capacidad	nc	O
de	sp	O
visionar	vmn	B-REQ
problemas	nc	I-REQ
futuros	adj	I-REQ
a	sp	O
fin	nc	O
de	sp	O
implementar	vmn	B-FUN
soluciones	nc	I-FUN
anticipadamente	rg	I-FUN
,	fc	O
buenas	adj	O
relaciones	nc	B-REQ
interpersonales	adj	I-REQ
,	fc	O
trabajo	nc	B-REQ
en	sp	I-REQ
equipo	nc	I-REQ
,	fc	O
capacidad	nc	O
de	sp	O
trabajo	nc	B-REQ
bajo	sp	I-REQ
presión	nc	I-REQ
.	fp	O

Manejo	nc	O
de	sp	O
software	nc	O
como	cs	O
Microsoft	np	B-REQ
Office	np	I-REQ
,	fc	O
Adobe	np	B-REQ
,	fc	O
etc	fs	O
.	fp	O

Licencia	nc	O
de	sp	O
Conducir	vmn	O
,	fc	O
Pasaporte	nc	O
.	fp	O

